pair_id,attr,left,right
15,categories,"{""primary"":""beverage_supplier"",""alternate"":[""burger_restaurant"",""fast_food_restaurant"",""business_equipment_and_supply"",""food_and_beverage_consultant"",""restaurant"",""business_to_business""]}","{""primary"":""fast_food_restaurant"",""alternate"":[""burger_restaurant"",""restaurant""]}"
15,confidence,0.77,0.9962614185921548
15,websites,"[""https://burgerking.com/store-locator/store/restaurant_5319""]","[""https://burgerking.com/store-locator/store/restaurant_5319""]"
15,socials,,"[""https://www.facebook.com/369034676623921""]"
15,emails,,
15,phones,"[""5418853166""]","[""+15418853166""]"
15,brand,"{""names"":{}}","{""names"":{""primary"":""Burger King""}}"
15,addresses,"[{""freeform"":""2561 Campus Dr"",""locality"":""Klamath Falls"",""region"":""OR"",""country"":""US"",""postcode"":""97601""}]","[{""freeform"":""2561 Campus Dr"",""locality"":""Klamath Falls"",""postcode"":""97601-1102"",""region"":""OR"",""country"":""US""}]"
16,names,"{""primary"":""bellaiuto coiffure""}","{""primary"":""bellaiuto coiffure""}"
16,categories,"{""primary"":""hair_stylist"",""alternate"":[""hair_salon"",""beauty_and_spa""]}","{""primary"":""hair_stylist"",""alternate"":[""hair_salon"",""beauty_and_spa""]}"
16,confidence,0.77,0.8606545961002786
16,websites,"[""http://bellaiuto.ch/""]","[""http://www.bellaiuto.ch/""]"
16,socials,,
16,emails,,
16,phones,"[""0448200169""]","[""0448200169""]"
16,brand,"{""names"":{}}",
16,addresses,"[{""freeform"":""Wangenstrasse 5"",""locality"":""Dübendorf"",""region"":""Zürich"",""country"":""CH"",""postcode"":""8600""}]","[{""freeform"":""Wangenstrasse 5"",""locality"":""Dübendorf"",""postcode"":""8600"",""region"":""Zurich"",""country"":""CH""}]"
17,names,"{""primary"":""LuLu's Bar & Resto""}","{""primary"":""LuLu's Bar & Resto""}"
17,categories,"{""primary"":""pub"",""alternate"":[""bar"",""restaurant""]}","{""primary"":""bar_and_grill_restaurant"",""alternate"":[""restaurant"",""diner""]}"
17,confidence,0.77,0.9792361111111111
17,websites,"[""http://luluspcb.com/""]","[""http://luluspcb.com""]"
17,socials,,"[""https://www.facebook.com/106821481775458""]"
17,emails,,
17,phones,"[""8502004040""]","[""+18502004040""]"
17,brand,"{""names"":{}}",
17,addresses,"[{""freeform"":""9902 S Thomas Dr"",""locality"":""Panama City Beach"",""region"":""FL"",""country"":""US"",""postcode"":""32408""}]","[{""freeform"":""9902 S Thomas Dr"",""locality"":""Panama City Beach"",""postcode"":""32408-1201"",""region"":""FL"",""country"":""US""}]"
18,names,"{""primary"":""Fastest Labs Pittsburgh""}","{""primary"":""Fastest Labs Pittsburgh""}"
18,categories,"{""primary"":""laboratory_testing"",""alternate"":[""clinical_laboratories"",""scientific_laboratories"",""b2b_medical_support_services"",""laboratory"",""health_and_medical"",""business_to_business""]}","{""primary"":""laboratory_testing"",""alternate"":[""clinical_laboratories"",""scientific_laboratories"",""b2b_medical_support_services"",""laboratory"",""health_and_medical"",""business_to_business""]}"
18,confidence,0.77,0.77
18,websites,"[""https://www.fastestlabs.com/pittsburgh/""]","[""https://www.fastestlabs.com/pittsburgh/""]"
18,socials,,
18,emails,,
18,phones,"[""4124670907""]","[""4124670907""]"
18,brand,"{""names"":{}}","{""names"":{}}"
18,addresses,"[{""freeform"":""100 Fleet St Ste 103"",""locality"":""Pittsburgh"",""region"":""PA"",""country"":""US"",""postcode"":""15220""}]","[{""freeform"":""100 Fleet St"",""locality"":""Pittsburgh"",""region"":""PA"",""country"":""US"",""postcode"":""15220""}]"
19,names,"{""primary"":""Jill R. Johnson, APRN, CNP""}","{""primary"":""Jill R. Johnson, APRN, CNP""}"
19,categories,"{""primary"":""nurse_practitioner"",""alternate"":[""health_and_medical""]}","{""primary"":""nurse_practitioner"",""alternate"":[""health_and_medical""]}"
19,confidence,0.77,0.77
19,websites,"[""https://healthcare.ascension.org/find-care/provider/1356415574/jill-johnson""]","[""""]"
19,socials,,
19,emails,,
19,phones,"[""9182271000""]","[""9182271000""]"
19,brand,"{""names"":{}}",
19,addresses,"[{""freeform"":""1021 E Bryan Ave"",""locality"":""Sapulpa"",""region"":""OK"",""country"":""US"",""postcode"":""74066""}]","[{""freeform"":""1021 E Bryan Ave"",""locality"":""Sapulpa"",""postcode"":""74066"",""region"":""OK"",""country"":""US""}]"
20,names,"{""primary"":""Audio Network""}","{""primary"":""Audio Network""}"
20,categories,"{""primary"":""music_production_services""}","{""primary"":""music_production_services""}"
20,confidence,0.77,0.77
20,websites,"[""https://www.audionetwork.com/""]","[""https://www.audionetwork.com/""]"
20,socials,,
20,emails,,
20,phones,"[""02075661441""]","[""02075661441""]"
20,brand,"{""names"":{}}","{""names"":{}}"
20,addresses,"[{""freeform"":""Audio Network (3Rd Floor), The Johnson Building, 77 Hatton Garden"",""locality"":""London"",""region"":"""",""country"":""GB"",""postcode"":""EC1N 8JS""}]","[{""freeform"":""Audio Network (3Rd Floor), The Johnson Building, 77 Hatton Garden"",""locality"":""London"",""region"":"""",""country"":""GB"",""postcode"":""EC1N 8JS""}]"
21,names,"{""primary"":""Orangetheory Fitness""}","{""primary"":""Orangetheory Fitness""}"
21,categories,"{""primary"":""boot_camp"",""alternate"":[""gym"",""active_life""]}","{""primary"":""gym"",""alternate"":[""active_life"",""health_and_medical""]}"
21,confidence,0.77,0.997898979043525
21,websites,"[""https://east-memphis.orangetheoryfitness.com/?utm_source=local_seo&utm_medium=organic&utm_content=reputationdotcom""]","[""https://east-memphis.orangetheoryfitness.com/""]"
21,socials,,"[""https://www.facebook.com/1566769126936363""]"
21,emails,,
21,phones,"[""9014215785""]","[""+19014215785""]"
21,brand,"{""names"":{}}","{""names"":{""primary"":""Orangetheory Fitness""}}"
21,addresses,"[{""freeform"":""4615 Poplar Ave 12"",""locality"":""Memphis"",""region"":""TN"",""country"":""US"",""postcode"":""38117""}]","[{""freeform"":""4615 Poplar Ave"",""locality"":""Memphis"",""postcode"":""38117-4400"",""region"":""TN"",""country"":""US""}]"
22,names,"{""primary"":""Fitness Together - Jenks Riverside""}","{""primary"":""Fitness Together""}"
22,categories,"{""primary"":""gym"",""alternate"":[""active_life""]}","{""primary"":""gym"",""alternate"":[""active_life""]}"
